tested,name,timeframe,n,best_arm,meanR,ctrl,edge,t,half1,half2,passed,note
2026-09-18,UR reclaim (alert engine),intraday,8296,swing_trail,0.502,0.577,-0.076,3.097,,,False,Stage A; intraday arms -0.06 to -0.09R; control = random minute same name-day
2026-09-18,ORB9 opening-range break,intraday,2246,swing_trail,0.461,0.872,-0.411,1.232,,,False,"Stage A; worst detector, intraday arms -0.25 to -0.30R, t -5 to -12"
2026-09-18,LVL pivot break,intraday,685,swing_trail,0.89,1.2,-0.31,2.44,,,False,"Stage A; flattest intraday of the three, thinnest sample"
2026-09-18,Bouncy ball (Breitstein short),daily,1811,t1R,-0.338,-0.002,-0.336,-4.29,-0.307,-0.357,False,"control = same name, random session same month, earned +0.34 to +0.48R: short exposure paid, the break entry did not"
2026-09-18,Bouncy ball (Breitstein short),intraday,1430,t1R,-0.411,-0.245,-0.167,-10.913,,,False,"5-min structure, 1-min fills; 18% win on the base arm; stop at the trigger bar high gets tagged"
2026-09-18,Precision-tier breakout (house),daily,1962,ema20 trail,0.79,,,4.3,,,,"exit_timing_study: our own book, entry at the breakout close. NOT run through this harness - no same-name random control yet. Re-test before trusting the comparison"
2026-09-18,in-play up mover (+4% on 2x vol),daily,9294,t1R,-0.2359191274206905,-0.0740327493196235,-0.1618863781010669,-8.823338815274031,-0.3103742960702366,-0.1875510199912728,False,"Tito-frequency universe, long continuation"
2026-09-18,in-play down mover (-4% on 2x vol),daily,8693,ema20,-0.0822142680398078,0.0754892538764412,-0.157703521916249,-2.215335405374905,0.0365831632465708,-0.1742161978827391,False,"Tito-frequency universe, short continuation"
2026-09-18,Archetype D: buy high-beta before FOMC,event,55,"buy T-1, sell decision close",0.497,-0.006,0.503,1.501,0.855,0.2,False,"returns in %, not R; edge flips sign across k (T-1 +0.50, T-2 -0.01, T-3 +0.23, T-5 -0.60) = noise; pre-FOMC drift real but t<2"
2026-09-18,"earnings drift, good+MUTED",daily,437,trail_bar,0.2045602513144951,0.1125933468989433,0.0919669044155517,2.119882351231354,0.1905050498971147,0.21342341937247,False,"buy the close after the earnings reaction, no price trigger"
2026-09-18,"earnings drift, good+BIG",daily,1069,ema20,0.0283213185152296,0.1047815456834227,-0.0764602271681931,1.893228869320642,0.0278872898505986,0.0286368482391132,False,"buy the close after the earnings reaction, no price trigger"
2026-09-18,"earnings drift, bad reaction",daily,3684,stop_hold,0.0973265373210573,-0.0899584697597958,0.1872850070808532,0.3841425180506408,0.0994745509869042,0.0955493117284816,False,"buy the close after the earnings reaction, no price trigger"
2026-09-18,delayed bump after good+MUTED earnings,daily,335,t1R,-0.1900816769175456,0.0522278415473083,-0.242309518464854,-2.2377201703562215,-0.1330657116876415,-0.2257858493187963,False,"first close above the reaction-day high, 3-20 sessions after a good report"
2026-09-18,delayed bump after good+BIG earnings,daily,796,t1R,-0.3613878948567838,-0.1392001796652263,-0.2221877151915574,-5.772576065465149,-0.4278726019528375,-0.3120699173829057,False,"first close above the reaction-day high, 3-20 sessions after a good report"
